症状,所属证候,证候所有症状
恶风,风邪袭表恶风,发热、恶风，头痫，自汗出，或鼻鸣干呕，或皮肤瘙痒、水肿，舌质淡，苔薄白，脉浮缓。
恶风,风热外袭恶风,发热、恶风，口渴，咽喉痒痛，皮肤瘙痒，舌尖红，苔薄黄，脉浮数。
恶风,风湿外袭恶风,恶风不欲去衣，骨节疼烦，汗出短气，小便不利，舌质淡，苔白腻，脉浮缓。
恶风,卫气亏虚恶风,恶风，自汗出，容易感冒，舌质淡，脉浮无力。
恶寒,风寒束表恶寒,恶寒甚，或有发热，无汗，头身疼痛，或鼻塞流涕，气喘，苔薄白，脉浮紧
恶寒,凉燥袭肺恶寒,恶寒甚，发热轻，头痛无汗，口、鼻、咽干燥，咳嗽疾少，舌苔薄白而干，脉浮紧。
恶寒,邪郁少阳恶寒,恶寒与发热交替发作，口苦，咽干，目眩，胸胁苦满，心烦喜呕，苔薄白，脉弦。
恶寒,邪伏募原恶寒,恶寒不发热，或热少寒多，休作有时，神疲肢倦，脚胁潘满，舌苔白腻，脉弦迟。
恶寒,少阴寒化恶寒,恶寒肢冷，精神萎廉，但欲寐，常伴身肿、呕吐、下利清谷，小便清长，脉傲细而沉。
恶寒,真热假寒恶寒,恶寒，甚则寒战、神昏。恶寒不欲近衣被，胸腹按之灼热，烦溻饮冷，声高气粗，便秘溲赤，舌质红绛，苔焦黄而干，脉沉而滑数有力。
恶寒,拖接初期恶寒,恶寒，甚则寒战，发热，疮疡局部肿痛发热，小便黄赤，大便秘结，舌苔黄，脉洪数或滑数。
恶寒,寒饮内停恶寒,眩晕，恶寒肢冷，胸脘痞闷，呕吐淸水、涎液，苔白滑，脉弦紧或弦滑。
畏寒,寒邪客肺畏寒,畏寒，咳嗽气喘，胸闷，吐白痰量多，苔白滑，脉弦紧。
畏寒,寒湿困脾畏寒,畏寒胺冷，脘腹胀闷，口腻纳呆，泛恶欲吐，口淡不渴，腹痛便塘，头身困重，舌质淡胖，苔白腻，脉浮缓。
畏寒,寒礙肝脉畏寒,畏寒肤冷，或恶寒，常伴少腹拘急冷痛牵引睾丸坠胀疼痈；或阴囊冷缩;或月经不调，经痛;或巅顶疼痛，进寒痛增，得温痛减，呕吐清水，苔白，脉紧。
畏寒,心阳虚畏寒,畏寒怕冷，面色晦晻，精神不振，心择气短，心胸憋闷或疼痛，舌质紫昧而胖嫩，脉细弱或结代。
畏寒,脾阳虚畏寒,畏寒肢冷，面色咣白，精神不振，纳减腹胀，口淡不湛，脘腹冷痛，喜温喜按，大便稀溏甚至完谷不化，舌淡苔白，脉沉细。
